delta_teacher,reward_misspec,t,k,error,optimal_k,post_optimum_degradation_pct,finite_optimum
0.0,1.5,12.0,32,0.9374686986032522,256,0.0,False
0.0,1.5,12.0,64,0.9369244565516139,256,0.0,False
0.0,1.5,12.0,128,0.936656214258522,256,0.0,False
0.0,1.5,12.0,256,0.9365230545021535,256,0.0,False
0.0,2.0,1.0,1,0.9968413208297896,2,63.88196880217589,True
0.0,2.0,1.0,2,0.9120022727926291,2,63.88196880217589,True
0.0,2.0,1.0,4,1.1182774666904045,2,63.88196880217589,True
0.0,2.0,1.0,8,1.3065944020326354,2,63.88196880217589,True
0.0,2.0,1.0,16,1.4079046732429383,2,63.88196880217589,True
0.0,2.0,1.0,32,1.455494624803993,2,63.88196880217589,True
0.0,2.0,1.0,64,1.4781390845614717,2,63.88196880217589,True
0.0,2.0,1.0,128,1.489166477417618,2,63.88196880217589,True
0.0,2.0,1.0,256,1.4946072801731516,2,63.88196880217589,True
0.0,2.0,2.0,1,1.0000004856738591,2,24.435827557223845,True
0.0,2.0,2.0,2,0.8911107124106497,2,24.435827557223845,True
0.0,2.0,2.0,4,0.9708929189780913,2,24.435827557223845,True
0.0,2.0,2.0,8,1.0385180407616992,2,24.435827557223845,True
0.0,2.0,2.0,16,1.0748439372978116,2,24.435827557223845,True
0.0,2.0,2.0,32,1.0930376820284962,2,24.435827557223845,True
0.0,2.0,2.0,64,1.102094132003735,2,24.435827557223845,True
0.0,2.0,2.0,128,1.1066080446519762,2,24.435827557223845,True
0.0,2.0,2.0,256,1.108860989439265,2,24.435827557223845,True
0.0,2.0,3.0,1,1.0000000004695828,2,11.317490501150317,True
0.0,2.0,3.0,2,0.8972697988968911,2,11.317490501150317,True
0.0,2.0,3.0,4,0.9314243303577453,2,11.317490501150317,True
0.0,2.0,3.0,8,0.9633986230377133,2,11.317490501150317,True
0.0,2.0,3.0,16,0.9813355184717364,2,11.317490501150317,True
0.0,2.0,3.0,32,0.9905975849450902,2,11.317490501150317,True
0.0,2.0,3.0,64,0.995283479269124,2,11.317490501150317,True
0.0,2.0,3.0,128,0.9976381693771182,2,11.317490501150317,True
0.0,2.0,3.0,256,0.9988182231567373,2,11.317490501150317,True
0.0,2.0,5.0,1,1.000000000000007,2,2.6545310217910734,True
0.0,2.0,5.0,2,0.9196141630360093,2,2.6545310217910734,True
0.0,2.0,5.0,4,0.9232708824747233,2,2.6545310217910734,True
0.0,2.0,5.0,8,0.9322704435217491,2,2.6545310217910734,True
0.0,2.0,5.0,16,0.9380234442671754,2,2.6545310217910734,True
0.0,2.0,5.0,32,0.9411573149424175,2,2.6545310217910734,True
0.0,2.0,5.0,64,0.9427825225958991,2,2.6545310217910734,True
0.0,2.0,5.0,128,0.9436089907740132,2,2.6545310217910734,True
0.0,2.0,5.0,256,0.9440256062745845,2,2.6545310217910734,True
0.0,2.0,8.0,1,1.0000000000000029,4,0.21983393542890362,False
0.0,2.0,8.0,2,0.9432012283207014,4,0.21983393542890362,False
0.0,2.0,8.0,4,0.9361251635314425,4,0.21983393542890362,False
0.0,2.0,8.0,8,0.9362492816942193,4,0.21983393542890362,False
0.0,2.0,8.0,16,0.9370450902184403,4,0.21983393542890362,False
0.0,2.0,8.0,32,0.9376070292057935,4,0.21983393542890362,False
0.0,2.0,8.0,64,0.9379267892775448,4,0.21983393542890362,False
0.0,2.0,8.0,128,0.9380961020819983,4,0.21983393542890362,False
0.0,2.0,8.0,256,0.938183084318974,4,0.21983393542890362,False
0.0,2.0,12.0,1,1.0000000000000024,256,0.0,False
0.0,2.0,12.0,2,0.9601559331206093,256,0.0,False
0.0,2.0,12.0,4,0.9509150729702887,256,0.0,False
0.0,2.0,12.0,8,0.9482756103067699,256,0.0,False
0.0,2.0,12.0,16,0.9473806980341597,256,0.0,False
0.0,2.0,12.0,32,0.9470316912362619,256,0.0,False
0.0,2.0,12.0,64,0.9468808922057438,256,0.0,False
0.0,2.0,12.0,128,0.9468113089633099,256,0.0,False
0.0,2.0,12.0,256,0.9467779579069427,256,0.0,False
0.0,2.5,1.0,1,0.9866440243763379,2,116.1208536246229,True
0.0,2.5,1.0,2,0.948088787300932,2,116.1208536246229,True
0.0,2.5,1.0,4,1.261912341359337,2,116.1208536246229,True
0.0,2.5,1.0,8,1.6045055678012705,2,116.1208536246229,True
0.0,2.5,1.0,16,1.8323194512052805,2,116.1208536246229,True
0.0,2.5,1.0,32,1.9505437039905031,2,116.1208536246229,True
0.0,2.5,1.0,64,2.007649942773191,2,116.1208536246229,True
0.0,2.5,1.0,128,2.03537964464943,2,116.1208536246229,True
0.0,2.5,1.0,256,2.0490175802341097,2,116.1208536246229,True
0.0,2.5,2.0,1,1.0000023115576677,2,47.60879821238948,True
0.0,2.5,2.0,2,0.9187905267258638,2,47.60879821238948,True
0.0,2.5,2.0,4,1.0696755931578485,2,47.60879821238948,True
0.0,2.5,2.0,8,1.2049687109141587,2,47.60879821238948,True
0.0,2.5,2.0,16,1.2823599728156205,2,47.60879821238948,True
0.0,2.5,2.0,32,1.321797565034045,2,47.60879821238948,True
0.0,2.5,2.0,64,1.34149249197851,2,47.60879821238948,True
0.0,2.5,2.0,128,1.3513137079604107,2,47.60879821238948,True
0.0,2.5,2.0,256,1.3562156545893307,2,47.60879821238948,True
0.0,2.5,3.0,1,0.9999999955883104,2,24.398974159783936,True
0.0,2.5,3.0,2,0.9148735638558281,2,24.398974159783936,True
0.0,2.5,3.0,4,0.9940604382619348,2,24.398974159783936,True
0.0,2.5,3.0,8,1.0621227939433584,2,24.398974159783936,True
0.0,2.5,3.0,16,1.1005874070455115,2,24.398974159783936,True
0.0,2.5,3.0,32,1.12046677274528,2,24.398974159783936,True
0.0,2.5,3.0,64,1.130517269317021,2,24.398974159783936,True
0.0,2.5,3.0,128,1.135564700776053,2,24.398974159783936,True
0.0,2.5,3.0,256,1.138093328295706,2,24.398974159783936,True
0.0,2.5,5.0,1,0.9999999999999742,2,8.533110382541476,True
0.0,2.5,5.0,2,0.9268564065652369,2,8.533110382541476,True
0.0,2.5,5.0,4,0.9524107808727464,2,8.533110382541476,True
0.0,2.5,5.0,8,0.9770082299253697,2,8.533110382541476,True
0.0,2.5,5.0,16,0.9914249333587603,2,8.533110382541476,True
0.0,2.5,5.0,32,0.9990599895214445,2,8.533110382541476,True
0.0,2.5,5.0,64,1.0029725858859473,2,8.533110382541476,True
0.0,2.5,5.0,128,1.0049512939634455,2,8.533110382541476,True
0.0,2.5,5.0,256,1.005946086825106,2,8.533110382541476,True
0.0,2.5,8.0,1,1.0000000000000036,2,2.118122729632299,True
0.0,2.5,8.0,2,0.9456664580201264,2,2.118122729632299,True
0.0,2.5,8.0,4,0.9488404746392084,2,2.118122729632299,True
0.0,2.5,8.0,8,0.9559965222360036,2,2.118122729632299,True
0.0,2.5,8.0,16,0.9606957653022502,2,2.118122729632299,True
0.0,2.5,8.0,32,0.9632948566005857,2,2.118122729632299,True
0.0,2.5,8.0,64,0.9646531816401681,2,2.118122729632299,True
0.0,2.5,8.0,128,0.9653466079235191,2,2.118122729632299,True
0.0,2.5,8.0,256,0.9656968342139594,2,2.118122729632299,True
0.0,2.5,12.0,1,1.0000000000000027,4,0.33044013647045567,False
0.0,2.5,12.0,2,0.9610043549830849,4,0.33044013647045567,False
0.0,2.5,12.0,4,0.9567983384913886,4,0.33044013647045567,False
0.0,2.5,12.0,8,0.9576111026695032,4,0.33044013647045567,False
0.0,2.5,12.0,16,0.9586439144878445,4,0.33044013647045567,False
0.0,2.5,12.0,32,0.9593053024700647,4,0.33044013647045567,False
0.0,2.5,12.0,64,0.9596708673127977,4,0.33044013647045567,False
0.0,2.5,12.0,128,0.9598622005037252,4,0.33044013647045567,False
0.0,2.5,12.0,256,0.9599599842268467,4,0.33044013647045567,False
0.2,0.5,1.0,1,1.0400022774315991,256,0.0,False
0.2,0.5,1.0,2,0.7443718813108648,256,0.0,False
0.2,0.5,1.0,4,0.6685735091064037,256,0.0,False
0.2,0.5,1.0,8,0.6431954509588059,256,0.0,False
0.2,0.5,1.0,16,0.632377942190242,256,0.0,False
0.2,0.5,1.0,32,0.62733213220392,256,0.0,False
0.2,0.5,1.0,64,0.624890510748702,256,0.0,False
0.2,0.5,1.0,128,0.6236890018097108,256,0.0,False
0.2,0.5,1.0,256,0.6230929539026073,256,0.0,False
0.2,0.5,2.0,1,1.0400000000357905,256,0.0,False
0.2,0.5,2.0,2,0.8518689881280603,256,0.0,False
0.2,0.5,2.0,4,0.797299650069914,256,0.0,False
0.2,0.5,2.0,8,0.7756877079501757,256,0.0,False
0.2,0.5,2.0,16,0.7658918923775366,256,0.0,False
0.2,0.5,2.0,32,0.7612120013430385,256,0.0,False
0.2,0.5,2.0,64,0.758922980845422,256,0.0,False
0.2,0.5,2.0,128,0.757790791538002,256,0.0,False
0.2,0.5,2.0,256,0.757227727923582,256,0.0,False
0.2,0.5,3.0,1,1.0400000000000431,256,0.0,False
0.2,0.5,3.0,2,0.9048269691635099,256,0.0,False
0.2,0.5,3.0,4,0.8608720379009062,256,0.0,False
0.2,0.5,3.0,8,0.8423749167303064,256,0.0,False
0.2,0.5,3.0,16,0.8338016955311993,256,0.0,False
0.2,0.5,3.0,32,0.8296659909320367,256,0.0,False
0.2,0.5,3.0,64,0.8276339158441096,256,0.0,False
0.2,0.5,3.0,128,0.8266265945048012,256,0.0,False
0.2,0.5,3.0,256,0.8261250852755971,256,0.0,False
0.2,0.5,5.0,1,1.0400000000000027,256,0.0,False
0.2,0.5,5.0,2,0.9548512734227601,256,0.0,False
0.2,0.5,5.0,4,0.9230768092953617,256,0.0,False
0.2,0.5,5.0,8,0.9089696567506641,256,0.0,False
0.2,0.5,5.0,16,0.9022883757899571,256,0.0,False
0.2,0.5,5.0,32,0.8990335108702853,256,0.0,False
0.2,0.5,5.0,64,0.8974266979800959,256,0.0,False
