delta_teacher,reward_shift,t,k,error,curve_monotone
0.5,0.0,1.0,128,0.564404624311795,True
0.5,0.0,1.0,256,0.5634496575847716,True
0.5,0.0,3.0,1,1.2499999999998066,True
0.5,0.0,3.0,2,1.0221868126124012,True
0.5,0.0,3.0,4,0.9487694149427599,True
0.5,0.0,3.0,8,0.9181802268547923,True
0.5,0.0,3.0,16,0.9040599472450022,True
0.5,0.0,3.0,32,0.8972607965175412,True
0.5,0.0,3.0,64,0.893922946562464,True
0.5,0.0,3.0,128,0.8922690420026667,True
0.5,0.0,3.0,256,0.8914457951532017,True
0.5,0.0,10.0,1,1.2500000000000029,True
0.5,0.0,10.0,2,1.1757568859594971,True
0.5,0.0,10.0,4,1.1443088981486387,True
0.5,0.0,10.0,8,1.1296832656226685,True
0.5,0.0,10.0,16,1.1226158530663062,True
0.5,0.0,10.0,32,1.119140332348292,True
0.5,0.0,10.0,64,1.1174167484206288,True
0.5,0.0,10.0,128,1.1165584558080788,True
0.5,0.0,10.0,256,1.1161301788342641,True
0.5,0.1,1.0,1,1.2499876296360946,True
0.5,0.1,1.0,2,0.7857411536327413,True
0.5,0.1,1.0,4,0.6634456279336031,True
0.5,0.1,1.0,8,0.6228633322278846,True
0.5,0.1,1.0,16,0.6056640237352311,True
0.5,0.1,1.0,32,0.5976580548960979,True
0.5,0.1,1.0,64,0.593787481451383,True
0.5,0.1,1.0,128,0.5918835813901837,True
0.5,0.1,1.0,256,0.5909392783517848,True
0.5,0.1,3.0,1,1.250000000000029,True
0.5,0.1,3.0,2,1.0357437044253752,True
0.5,0.1,3.0,4,0.9658686484419948,True
0.5,0.1,3.0,8,0.9365322351361718,True
0.5,0.1,3.0,16,0.9229482986901929,True
0.5,0.1,3.0,32,0.9163982765807359,True
0.5,0.1,3.0,64,0.9131805907485147,True
0.5,0.1,3.0,128,0.9115857094967241,True
0.5,0.1,3.0,256,0.9107917145594484,True
0.5,0.1,10.0,1,1.2500000000000027,True
0.5,0.1,10.0,2,1.1806418350643109,True
0.5,0.1,10.0,4,1.1510598134122512,True
0.5,0.1,10.0,8,1.1372620864746428,True
0.5,0.1,10.0,16,1.130585848743518,True
0.5,0.1,10.0,32,1.1273005928153583,True
0.5,0.1,10.0,64,1.1256708536887943,True
0.5,0.1,10.0,128,1.1248591667637315,True
0.5,0.1,10.0,256,1.1244541140917095,True
0.5,0.25,1.0,1,1.2500051111553163,True
0.5,0.25,1.0,2,0.822021697006919,True
0.5,0.25,1.0,4,0.7099025788113039,True
0.5,0.25,1.0,8,0.6718442226446373,True
0.5,0.25,1.0,16,0.6555438718762137,True
0.5,0.25,1.0,32,0.6479269560200114,True
0.5,0.25,1.0,64,0.6442382689767197,True
0.5,0.25,1.0,128,0.6424224021792642,True
0.5,0.25,1.0,256,0.6415214166490635,True
0.5,0.25,3.0,1,1.2500000000000102,True
0.5,0.25,3.0,2,1.0569783883738713,True
0.5,0.25,3.0,4,0.9930622163664156,True
0.5,0.25,3.0,8,0.9659950728695568,True
0.5,0.25,3.0,16,0.9534186269558397,True
0.5,0.25,3.0,32,0.9473449860215267,True
0.5,0.25,3.0,64,0.9443591146634103,True
0.5,0.25,3.0,128,0.9428786001699541,True
0.5,0.25,3.0,256,0.9421414099249997,True
0.5,0.25,10.0,1,1.2500000000000029,True
0.5,0.25,10.0,2,1.1880059380201942,True
0.5,0.25,10.0,4,1.1613389503073888,True
0.5,0.25,10.0,8,1.1488573828353785,True
0.5,0.25,10.0,16,1.1428083559422475,True
0.5,0.25,10.0,32,1.1398294652042626,True
0.5,0.25,10.0,64,1.1383511539238949,True
0.5,0.25,10.0,128,1.1376147488996287,True
0.5,0.25,10.0,256,1.1372472299906091,True
0.5,0.5,1.0,1,1.2499999403932316,True
0.5,0.5,1.0,2,0.8995418382604554,True
0.5,0.5,1.0,4,0.8078085591199923,True
0.5,0.5,1.0,8,0.7761682768959393,True
0.5,0.5,1.0,16,0.7625257603788034,True
0.5,0.5,1.0,32,0.756135074480739,True
0.5,0.5,1.0,64,0.7530368815989421,True
0.5,0.5,1.0,128,0.7515109293921326,True
0.5,0.5,1.0,256,0.7507536053579138,True
0.5,0.5,3.0,1,1.250000000000016,True
0.5,0.5,3.0,2,1.0945769724144268,True
0.5,0.5,3.0,4,1.042450160735412,True
0.5,0.5,3.0,8,1.0202397892926323,True
0.5,0.5,3.0,16,1.0098949689260914,True
0.5,0.5,3.0,32,1.0048936187420998,True
0.5,0.5,3.0,64,1.0024336219398988,True
0.5,0.5,3.0,128,1.001213548011483,True
0.5,0.5,3.0,256,1.00060596244383,True
0.5,0.5,10.0,1,1.2500000000000027,True
0.5,0.5,10.0,2,1.2003660557177094,True
0.5,0.5,10.0,4,1.1788726803129779,True
0.5,0.5,10.0,8,1.1687857083340765,True
0.5,0.5,10.0,16,1.1638912610812875,True
0.5,0.5,10.0,32,1.1614795559757833,True
0.5,0.5,10.0,64,1.1602823785429235,True
0.5,0.5,10.0,128,1.1596859338056082,True
0.5,0.5,10.0,256,1.1593882443772252,True
